Metric,Value
timing__hold__ws__corner:min_ss_125C_3v00,1.9322153313144297
timing__setup__ws__corner:min_ss_125C_3v00,-3.436197201816014
timing__hold__tns__corner:min_ss_125C_3v00,0.0
timing__setup__tns__corner:min_ss_125C_3v00,-740.9818390822719
timing__hold__wns__corner:min_ss_125C_3v00,0
timing__setup__wns__corner:min_ss_125C_3v00,-3.436197201816014
timing__hold_vio__count__corner:min_ss_125C_3v00,0
timing__hold_r2r__ws__corner:min_ss_125C_3v00,1.932215
timing__hold_r2r_vio__count__corner:min_ss_125C_3v00,0
timing__setup_vio__count__corner:min_ss_125C_3v00,293
timing__setup_r2r__ws__corner:min_ss_125C_3v00,-3.436197
timing__setup_r2r_vio__count__corner:min_ss_125C_3v00,291
timing__unannotated_net__count__corner:min_ss_125C_3v00,1900
timing__unannotated_net_filtered__count__corner:min_ss_125C_3v00,0
design__max_slew_violation__count__corner:min_ff_n40C_3v60,297
design__max_fanout_violation__count__corner:min_ff_n40C_3v60,164
design__max_cap_violation__count__corner:min_ff_n40C_3v60,110
clock__skew__worst_hold__corner:min_ff_n40C_3v60,-0.361092360677276
clock__skew__worst_setup__corner:min_ff_n40C_3v60,0.338068221874525
timing__hold__ws__corner:min_ff_n40C_3v60,0.3809122014513058
timing__setup__ws__corner:min_ff_n40C_3v60,5.139799842326122
timing__hold__tns__corner:min_ff_n40C_3v60,0.0
timing__setup__tns__corner:min_ff_n40C_3v60,0.0
timing__hold__wns__corner:min_ff_n40C_3v60,0
timing__setup__wns__corner:min_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:min_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:min_ff_n40C_3v60,0.380912
timing__hold_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_vio__count__corner:min_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:min_ff_n40C_3v60,13.000902
timing__setup_r2r_vio__count__corner:min_ff_n40C_3v60,0
timing__unannotated_net__count__corner:min_ff_n40C_3v60,1900
timing__unannotated_net_filtered__count__corner:min_ff_n40C_3v60,0
design__max_slew_violation__count__corner:max_tt_025C_3v30,900
design__max_fanout_violation__count__corner:max_tt_025C_3v30,164
design__max_cap_violation__count__corner:max_tt_025C_3v30,128
clock__skew__worst_hold__corner:max_tt_025C_3v30,-0.468543883620202
clock__skew__worst_setup__corner:max_tt_025C_3v30,0.4369631169467889
timing__hold__ws__corner:max_tt_025C_3v30,0.8692053989259036
timing__setup__ws__corner:max_tt_025C_3v30,4.56685902021261
timing__hold__tns__corner:max_tt_025C_3v30,0.0
timing__setup__tns__corner:max_tt_025C_3v30,0.0
timing__hold__wns__corner:max_tt_025C_3v30,0
timing__setup__wns__corner:max_tt_025C_3v30,0.0
timing__hold_vio__count__corner:max_tt_025C_3v30,0
timing__hold_r2r__ws__corner:max_tt_025C_3v30,0.869205
timing__hold_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__setup_vio__count__corner:max_tt_025C_3v30,0
